"PERSON_NOM","CAPITAINE_DEFINITION","NAVIREPIRATE_NOM"
James Alday,Lors de la première expédition vers la côte des Barbaresques il est tombé malade est a du laisser son commandement ,Trinity Gilbert
John Hawley,"Maire de Dartmouth, il était aussi marchand et corsaire, il a été accusé d'être un pirate",Navire de John Hawley
William Kyd,Il figure en 1431 dans une liste de pirates connus. Il pille et s'empare de navires autour de la Tamise et de la Manche,La Trinite of Exmouth
Benjamin Hornigold,"Benjamin Hornigold a mené de nombreux pillages en compagnie d'Edward Teach et Samuel Belamy. Il a participé à la fondation de la république des pirates de Nassau puis après reçu un pardon royal en 1717, il est devenu chasseur de pirates.",Happy Return
Benjamin Hornigold,"Benjamin Hornigold a mené de nombreux pillages en compagnie d'Edward Teach et Samuel Belamy. Il a participé à la fondation de la république des pirates de Nassau puis après reçu un pardon royal en 1717, il est devenu chasseur de pirates.",Marianne
Benjamin Hornigold,"Benjamin Hornigold a mené de nombreux pillages en compagnie d'Edward Teach et Samuel Belamy. Il a participé à la fondation de la république des pirates de Nassau puis après reçu un pardon royal en 1717, il est devenu chasseur de pirates.",Ranger
Samuel Bellamy,"Durant l'été 1716, une mutinerie fait remplacer le capitaine Benjamin Hornigold par Samuel Bellamy. Entre 1716 et 1717 il amasse une grande fortune jusqu'au naufrage de son navire durant une tempête.",Sultana
Samuel Bellamy,"Durant l'été 1716, une mutinerie fait remplacer le capitaine Benjamin Hornigold par Samuel Bellamy. Entre 1716 et 1717 il amasse une grande fortune jusqu'au naufrage de son navire durant une tempête.",Marianne
Samuel Bellamy,"Durant l'été 1716, une mutinerie fait remplacer le capitaine Benjamin Hornigold par Samuel Bellamy. Entre 1716 et 1717 il amasse une grande fortune jusqu'au naufrage de son navire durant une tempête.",Whydah Gally
Edward Teach,"Lorsque Benjamin hornigold prend le commandement du Ranger, il nomme Teach capitaine de son ancien navire. Teach devient alors un pirate très célèbre sous le nom de Barbe Noire en pillant les Caraïbes. En mai 1718, il fait un grand coup d'éclat en organisant le blocus du port de Charleston.",Revenge
Edward Teach,"Lorsque Benjamin hornigold prend le commandement du Ranger, il nomme Teach capitaine de son ancien navire. Teach devient alors un pirate très célèbre sous le nom de Barbe Noire en pillant les Caraïbes. En mai 1718, il fait un grand coup d'éclat en organisant le blocus du port de Charleston.",Queen Anne's Revenge
Edward Teach,"Lorsque Benjamin hornigold prend le commandement du Ranger, il nomme Teach capitaine de son ancien navire. Teach devient alors un pirate très célèbre sous le nom de Barbe Noire en pillant les Caraïbes. En mai 1718, il fait un grand coup d'éclat en organisant le blocus du port de Charleston.",Adventure
Edward Teach,"Lorsque Benjamin hornigold prend le commandement du Ranger, il nomme Teach capitaine de son ancien navire. Teach devient alors un pirate très célèbre sous le nom de Barbe Noire en pillant les Caraïbes. En mai 1718, il fait un grand coup d'éclat en organisant le blocus du port de Charleston.",Bersheba
Jack Rackham,"Jack Rakham porte le surnom de Calico en raison de ses habits très colorés faits en calicot. Il est le quartier-maître de Charles Vane avant de le déposer et de devenir lui-même capitaine. Après avoir accepté le pardon royal en 1419, il rencontre Anne Bonny et se relance dans la piraterie avec elle et Mary Read en 1420.",Ranger
Henry Jennings,"Henry Jennings commence sa carrière de pirate en attaquant des navires espagnols après avoir entendu parler du naufrage d'une de leur flotte au trésor. En 1716, avec Charles Vane, Benjamin Hornigold, Samuel Bellamy et Edward England, il lance un raid sur le camp espagnol de récupération de la flotte au trésor. ",Bersheba
Edward England,"Il participe au pillage de l'épave de la flotte au trésor espagnole avec Charles Vane et Henry Jennings, puis effectue des raids avec Charles Vane.",Royal James
Edward England,"Il participe au pillage de l'épave de la flotte au trésor espagnole avec Charles Vane et Henry Jennings, puis effectue des raids avec Charles Vane.",Fancy
